E [keV],epsilon (3 mm),epsilon (30 mm),epsilon (80 mm),epsilon (120 mm),epsilon (250 mm)
121,1.40434E+02,4.03863E+01,1.22059E+01,6.30481E+00,1.70477E+00
122,1.40563E+02,4.03810E+01,1.22135E+01,6.30944E+00,1.70662E+00
123,1.40659E+02,4.03679E+01,1.22188E+01,6.31288E+00,1.70816E+00
124,1.40723E+02,4.03472E+01,1.22219E+01,6.31520E+00,1.70940E+00
125,1.40757E+02,4.03192E+01,1.22229E+01,6.31643E+00,1.71036E+00
126,1.40763E+02,4.02844E+01,1.22218E+01,6.31661E+00,1.71103E+00
127,1.40740E+02,4.02429E+01,1.22188E+01,6.31577E+00,1.71143E+00
128,1.40691E+02,4.01951E+01,1.22139E+01,6.31397E+00,1.71156E+00
129,1.40616E+02,4.01413E+01,1.22071E+01,6.31124E+00,1.71145E+00
130,1.40516E+02,4.00817E+01,1.21986E+01,6.30761E+00,1.71109E+00
131,1.40393E+02,4.00167E+01,1.21885E+01,6.30312E+00,1.71050E+00
132,1.40247E+02,3.99464E+01,1.21767E+01,6.29781E+00,1.70969E+00
133,1.40079E+02,3.98711E+01,1.21634E+01,6.29170E+00,1.70865E+00
134,1.39891E+02,3.97911E+01,1.21487E+01,6.28484E+00,1.70741E+00
135,1.39683E+02,3.97065E+01,1.21325E+01,6.27724E+00,1.70597E+00
136,1.39456E+02,3.96177E+01,1.21149E+01,6.26896E+00,1.70433E+00
137,1.39211E+02,3.95249E+01,1.20961E+01,6.26000E+00,1.70251E+00
138,1.38949E+02,3.94281E+01,1.20760E+01,6.25040E+00,1.70051E+00
139,1.38670E+02,3.93277E+01,1.20547E+01,6.24020E+00,1.69834E+00
140,1.38376E+02,3.92239E+01,1.20323E+01,6.22941E+00,1.69600E+00
141,1.38067E+02,3.91167E+01,1.20088E+01,6.21806E+00,1.69350E+00
142,1.37744E+02,3.90065E+01,1.19843E+01,6.20618E+00,1.69086E+00
143,1.37407E+02,3.88933E+01,1.19588E+01,6.19379E+00,1.68807E+00
144,1.37058E+02,3.87774E+01,1.19323E+01,6.18092E+00,1.68514E+00
145,1.36696E+02,3.86589E+01,1.19050E+01,6.16759E+00,1.68207E+00
146,1.36323E+02,3.85379E+01,1.18768E+01,6.15381E+00,1.67888E+00
147,1.35939E+02,3.84146E+01,1.18478E+01,6.13962E+00,1.67557E+00
148,1.35544E+02,3.82892E+01,1.18180E+01,6.12503E+00,1.67214E+00
