E [keV],epsilon (3 mm),epsilon (30 mm),epsilon (80 mm),epsilon (120 mm),epsilon (250 mm)
1503,1.55501E+01,4.49720E+00,1.50422E+00,8.05221E-01,2.29541E-01
1504,1.55408E+01,4.49452E+00,1.50326E+00,8.04721E-01,2.29401E-01
1505,1.55316E+01,4.49184E+00,1.50230E+00,8.04221E-01,2.29262E-01
1506,1.55223E+01,4.48917E+00,1.50134E+00,8.03723E-01,2.29124E-01
1507,1.55131E+01,4.48650E+00,1.50038E+00,8.03225E-01,2.28985E-01
1508,1.55039E+01,4.48384E+00,1.49943E+00,8.02727E-01,2.28846E-01
1509,1.54947E+01,4.48118E+00,1.49847E+00,8.02231E-01,2.28708E-01
1510,1.54855E+01,4.47852E+00,1.49752E+00,8.01735E-01,2.28570E-01
1511,1.54763E+01,4.47586E+00,1.49657E+00,8.01239E-01,2.28432E-01
1512,1.54671E+01,4.47321E+00,1.49562E+00,8.00744E-01,2.28294E-01
1513,1.54580E+01,4.47056E+00,1.49467E+00,8.00250E-01,2.28156E-01
1514,1.54488E+01,4.46792E+00,1.49372E+00,7.99757E-01,2.28018E-01
1515,1.54397E+01,4.46528E+00,1.49277E+00,7.99264E-01,2.27881E-01
1516,1.54306E+01,4.46264E+00,1.49183E+00,7.98772E-01,2.27743E-01
1517,1.54215E+01,4.46000E+00,1.49088E+00,7.98280E-01,2.27606E-01
1518,1.54124E+01,4.45737E+00,1.48994E+00,7.97789E-01,2.27469E-01
1519,1.54033E+01,4.45475E+00,1.48899E+00,7.97299E-01,2.27332E-01
1520,1.53943E+01,4.45212E+00,1.48805E+00,7.96809E-01,2.27195E-01
1521,1.53852E+01,4.44950E+00,1.48711E+00,7.96320E-01,2.27059E-01
1522,1.53762E+01,4.44689E+00,1.48617E+00,7.95832E-01,2.26922E-01
1523,1.53672E+01,4.44427E+00,1.48523E+00,7.95344E-01,2.26786E-01
1524,1.53582E+01,4.44166E+00,1.48429E+00,7.94857E-01,2.26650E-01
1525,1.53492E+01,4.43906E+00,1.48336E+00,7.94370E-01,2.26514E-01
1526,1.53402E+01,4.43645E+00,1.48242E+00,7.93884E-01,2.26378E-01
1527,1.53312E+01,4.43385E+00,1.48149E+00,7.93399E-01,2.26242E-01
1528,1.53223E+01,4.43126E+00,1.48056E+00,7.92914E-01,2.26106E-01
1529,1.53133E+01,4.42866E+00,1.47962E+00,7.92430E-01,2.25971E-01
1530,1.53044E+01,4.42607E+00,1.47869E+00,7.91947E-01,2.25836E-01
1531,1.52955E+01,4.42349E+00,1.47776E+00,7.91464E-01,2.25700E-01
1532,1.52866E+01,4.42090E+00,1.47683E+00,7.90982E-01,2.25565E-01
1533,1.52777E+01,4.41832E+00,1.47591E+00,7.90500E-01,2.25430E-01
1534,1.52689E+01,4.41575E+00,1.47498E+00,7.90019E-01,2.25296E-01
1535,1.52600E+01,4.41317E+00,1.47405E+00,7.89539E-01,2.25161E-01
1536,1.52512E+01,4.41060E+00,1.47313E+00,7.89059E-01,2.25027E-01
1537,1.52423E+01,4.40804E+00,1.47220E+00,7.88580E-01,2.24892E-01
1538,1.52335E+01,4.40547E+00,1.47128E+00,7.88101E-01,2.24758E-01
1539,1.52247E+01,4.40291E+00,1.47036E+00,7.87623E-01,2.24624E-01
1540,1.52159E+01,4.40036E+00,1.46944E+00,7.87146E-01,2.24490E-01
1541,1.52071E+01,4.39781E+00,1.46852E+00,7.86669E-01,2.24357E-01
1542,1.51984E+01,4.39526E+00,1.46760E+00,7.86193E-01,2.24223E-01
1543,1.51896E+01,4.39271E+00,1.46669E+00,7.85718E-01,2.24089E-01
1544,1.51809E+01,4.39017E+00,1.46577E+00,7.85243E-01,2.23956E-01
1545,1.51721E+01,4.38763E+00,1.46486E+00,7.84768E-01,2.23823E-01
1546,1.51634E+01,4.38509E+00,1.46394E+00,7.84295E-01,2.23690E-01
1547,1.51547E+01,4.38256E+00,1.46303E+00,7.83822E-01,2.23557E-01
1548,1.51460E+01,4.38002E+00,1.46212E+00,7.83349E-01,2.23424E-01
1549,1.51373E+01,4.37750E+00,1.46121E+00,7.82877E-01,2.23292E-01
1550,1.51287E+01,4.37497E+00,1.46030E+00,7.82406E-01,2.23159E-01
1551,1.51200E+01,4.37245E+00,1.45939E+00,7.81935E-01,2.23027E-01
1552,1.51114E+01,4.36994E+00,1.45848E+00,7.81465E-01,2.22895E-01
1553,1.51028E+01,4.36742E+00,1.45757E+00,7.80996E-01,2.22763E-01
1554,1.50941E+01,4.36491E+00,1.45667E+00,7.80527E-01,2.22631E-01
1555,1.50855E+01,4.36240E+00,1.45576E+00,7.80059E-01,2.22499E-01
1556,1.50770E+01,4.35990E+00,1.45486E+00,7.79591E-01,2.22367E-01
1557,1.50684E+01,4.35740E+00,1.45396E+00,7.79124E-01,2.22236E-01
1558,1.50598E+01,4.35490E+00,1.45306E+00,7.78657E-01,2.22104E-01
1559,1.50513E+01,4.35241E+00,1.45216E+00,7.78191E-01,2.21973E-01
1560,1.50427E+01,4.34991E+00,1.45126E+00,7.77726E-01,2.21842E-01
1561,1.50342E+01,4.34742E+00,1.45036E+00,7.77261E-01,2.21711E-01
1562,1.50257E+01,4.34494E+00,1.44946E+00,7.76797E-01,2.21580E-01
1563,1.50172E+01,4.34246E+00,1.44856E+00,7.76333E-01,2.21450E-01
1564,1.50087E+01,4.33998E+00,1.44767E+00,7.75870E-01,2.21319E-01
1565,1.50002E+01,4.33750E+00,1.44678E+00,7.75408E-01,2.21189E-01
1566,1.49918E+01,4.33503E+00,1.44588E+00,7.74946E-01,2.21058E-01
1567,1.49833E+01,4.33256E+00,1.44499E+00,7.74485E-01,2.20928E-01
1568,1.49749E+01,4.33009E+00,1.44410E+00,7.74024E-01,2.20798E-01
1569,1.49664E+01,4.32763E+00,1.44321E+00,7.73564E-01,2.20668E-01
1570,1.49580E+01,4.32517E+00,1.44232E+00,7.73105E-01,2.20539E-01
1571,1.49496E+01,4.32271E+00,1.44143E+00,7.72646E-01,2.20409E-01
1572,1.49412E+01,4.32026E+00,1.44054E+00,7.72187E-01,2.20280E-01
1573,1.49329E+01,4.31781E+00,1.43966E+00,7.71729E-01,2.20150E-01
1574,1.49245E+01,4.31536E+00,1.43877E+00,7.71272E-01,2.20021E-01
1575,1.49162E+01,4.31292E+00,1.43789E+00,7.70816E-01,2.19892E-01
1576,1.49078E+01,4.31047E+00,1.43701E+00,7.70360E-01,2.19763E-01
1577,1.48995E+01,4.30803E+00,1.43612E+00,7.69904E-01,2.19634E-01
1578,1.48912E+01,4.30560E+00,1.43524E+00,7.69449E-01,2.19506E-01
1579,1.48829E+01,4.30317E+00,1.43436E+00,7.68995E-01,2.19377E-01
1580,1.48746E+01,4.30074E+00,1.43348E+00,7.68541E-01,2.19249E-01
1581,1.48663E+01,4.29831E+00,1.43261E+00,7.68088E-01,2.19120E-01
1582,1.48580E+01,4.29589E+00,1.43173E+00,7.67635E-01,2.18992E-01
1583,1.48498E+01,4.29347E+00,1.43085E+00,7.67183E-01,2.18864E-01
1584,1.48415E+01,4.29105E+00,1.42998E+00,7.66731E-01,2.18736E-01
1585,1.48333E+01,4.28864E+00,1.42910E+00,7.66281E-01,2.18609E-01
1586,1.48251E+01,4.28622E+00,1.42823E+00,7.65830E-01,2.18481E-01
1587,1.48169E+01,4.28382E+00,1.42736E+00,7.65380E-01,2.18354E-01
1588,1.48087E+01,4.28141E+00,1.42649E+00,7.64931E-01,2.18226E-01
1589,1.48005E+01,4.27901E+00,1.42562E+00,7.64482E-01,2.18099E-01
1590,1.47924E+01,4.27661E+00,1.42475E+00,7.64034E-01,2.17972E-01
1591,1.47842E+01,4.27421E+00,1.42388E+00,7.63587E-01,2.17845E-01
1592,1.47761E+01,4.27182E+00,1.42301E+00,7.63140E-01,2.17718E-01
1593,1.47679E+01,4.26943E+00,1.42215E+00,7.62693E-01,2.17591E-01
1594,1.47598E+01,4.26704E+00,1.42128E+00,7.62247E-01,2.17465E-01
1595,1.47517E+01,4.26466E+00,1.42042E+00,7.61802E-01,2.17338E-01
1596,1.47436E+01,4.26228E+00,1.41955E+00,7.61357E-01,2.17212E-01
1597,1.47355E+01,4.25990E+00,1.41869E+00,7.60913E-01,2.17086E-01
1598,1.47274E+01,4.25752E+00,1.41783E+00,7.60469E-01,2.16960E-01
1599,1.47194E+01,4.25515E+00,1.41697E+00,7.60026E-01,2.16834E-01
1600,1.47113E+01,4.25278E+00,1.41611E+00,7.59583E-01,2.16708E-01
1601,1.47033E+01,4.25041E+00,1.41525E+00,7.59141E-01,2.16582E-01
1602,1.46953E+01,4.24805E+00,1.41439E+00,7.58700E-01,2.16457E-01
1603,1.46872E+01,4.24569E+00,1.41354E+00,7.58259E-01,2.16331E-01
1604,1.46792E+01,4.24333E+00,1.41268E+00,7.57818E-01,2.16206E-01
1605,1.46713E+01,4.24098E+00,1.41183E+00,7.57378E-01,2.16081E-01
1606,1.46633E+01,4.23862E+00,1.41097E+00,7.56939E-01,2.15956E-01
1607,1.46553E+01,4.23628E+00,1.41012E+00,7.56500E-01,2.15831E-01
1608,1.46474E+01,4.23393E+00,1.40927E+00,7.56062E-01,2.15706E-01
1609,1.46394E+01,4.23159E+00,1.40842E+00,7.55624E-01,2.15581E-01
1610,1.46315E+01,4.22924E+00,1.40757E+00,7.55187E-01,2.15457E-01
1611,1.46236E+01,4.22691E+00,1.40672E+00,7.54751E-01,2.15333E-01
1612,1.46156E+01,4.22457E+00,1.40587E+00,7.54314E-01,2.15208E-01
1613,1.46077E+01,4.22224E+00,1.40502E+00,7.53879E-01,2.15084E-01
1614,1.45999E+01,4.21991E+00,1.40418E+00,7.53444E-01,2.14960E-01
1615,1.45920E+01,4.21759E+00,1.40333E+00,7.53009E-01,2.14836E-01
1616,1.45841E+01,4.21526E+00,1.40249E+00,7.52576E-01,2.14712E-01
1617,1.45763E+01,4.21294E+00,1.40165E+00,7.52142E-01,2.14589E-01
1618,1.45684E+01,4.21062E+00,1.40080E+00,7.51709E-01,2.14465E-01
1619,1.45606E+01,4.20831E+00,1.39996E+00,7.51277E-01,2.14342E-01
1620,1.45528E+01,4.20600E+00,1.39912E+00,7.50845E-01,2.14218E-01
1621,1.45450E+01,4.20369E+00,1.39828E+00,7.50414E-01,2.14095E-01
1622,1.45372E+01,4.20138E+00,1.39744E+00,7.49983E-01,2.13972E-01
1623,1.45294E+01,4.19908E+00,1.39661E+00,7.49553E-01,2.13849E-01
1624,1.45216E+01,4.19678E+00,1.39577E+00,7.49123E-01,2.13726E-01
1625,1.45139E+01,4.19448E+00,1.39493E+00,7.48694E-01,2.13604E-01
1626,1.45061E+01,4.19218E+00,1.39410E+00,7.48266E-01,2.13481E-01
1627,1.44984E+01,4.18989E+00,1.39326E+00,7.47837E-01,2.13359E-01
1628,1.44907E+01,4.18760E+00,1.39243E+00,7.47410E-01,2.13236E-01
1629,1.44830E+01,4.18532E+00,1.39160E+00,7.46983E-01,2.13114E-01
1630,1.44753E+01,4.18303E+00,1.39077E+00,7.46556E-01,2.12992E-01
1631,1.44676E+01,4.18075E+00,1.38994E+00,7.46130E-01,2.12870E-01
1632,1.44599E+01,4.17847E+00,1.38911E+00,7.45705E-01,2.12748E-01
1633,1.44522E+01,4.17620E+00,1.38828E+00,7.45280E-01,2.12627E-01
1634,1.44446E+01,4.17392E+00,1.38745E+00,7.44855E-01,2.12505E-01
1635,1.44369E+01,4.17165E+00,1.38663E+00,7.44432E-01,2.12384E-01
1636,1.44293E+01,4.16938E+00,1.38580E+00,7.44008E-01,2.12262E-01
1637,1.44217E+01,4.16712E+00,1.38498E+00,7.43585E-01,2.12141E-01
1638,1.44140E+01,4.16486E+00,1.38415E+00,7.43163E-01,2.12020E-01
1639,1.44064E+01,4.16260E+00,1.38333E+00,7.42741E-01,2.11899E-01
1640,1.43989E+01,4.16034E+00,1.38251E+00,7.42320E-01,2.11778E-01
1641,1.43913E+01,4.15809E+00,1.38168E+00,7.41899E-01,2.11657E-01
1642,1.43837E+01,4.15584E+00,1.38086E+00,7.41479E-01,2.11537E-01
1643,1.43761E+01,4.15359E+00,1.38005E+00,7.41059E-01,2.11416E-01
1644,1.43686E+01,4.15134E+00,1.37923E+00,7.40640E-01,2.11296E-01
1645,1.43611E+01,4.14910E+00,1.37841E+00,7.40221E-01,2.11175E-01
1646,1.43535E+01,4.14686E+00,1.37759E+00,7.39803E-01,2.11055E-01
1647,1.43460E+01,4.14462E+00,1.37678E+00,7.39385E-01,2.10935E-01
1648,1.43385E+01,4.14239E+00,1.37596E+00,7.38968E-01,2.10815E-01
1649,1.43310E+01,4.14015E+00,1.37515E+00,7.38551E-01,2.10695E-01
1650,1.43236E+01,4.13792E+00,1.37433E+00,7.38135E-01,2.10576E-01
1651,1.43161E+01,4.13570E+00,1.37352E+00,7.37719E-01,2.10456E-01
1652,1.43086E+01,4.13347E+00,1.37271E+00,7.37304E-01,2.10337E-01
1653,1.43012E+01,4.13125E+00,1.37190E+00,7.36889E-01,2.10217E-01
1654,1.42937E+01,4.12903E+00,1.37109E+00,7.36475E-01,2.10098E-01
1655,1.42863E+01,4.12682E+00,1.37028E+00,7.36061E-01,2.09979E-01
1656,1.42789E+01,4.12460E+00,1.36947E+00,7.35648E-01,2.09860E-01
1657,1.42715E+01,4.12239E+00,1.36867E+00,7.35235E-01,2.09741E-01
1658,1.42641E+01,4.12018E+00,1.36786E+00,7.34823E-01,2.09622E-01
1659,1.42567E+01,4.11798E+00,1.36706E+00,7.34411E-01,2.09504E-01
1660,1.42494E+01,4.11577E+00,1.36625E+00,7.34000E-01,2.09385E-01
1661,1.42420E+01,4.11357E+00,1.36545E+00,7.33589E-01,2.09267E-01
1662,1.42347E+01,4.11137E+00,1.36464E+00,7.33179E-01,2.09148E-01
1663,1.42273E+01,4.10918E+00,1.36384E+00,7.32769E-01,2.09030E-01
1664,1.42200E+01,4.10699E+00,1.36304E+00,7.32360E-01,2.08912E-01
1665,1.42127E+01,4.10480E+00,1.36224E+00,7.31952E-01,2.08794E-01
1666,1.42054E+01,4.10261E+00,1.36144E+00,7.31543E-01,2.08676E-01
1667,1.41981E+01,4.10042E+00,1.36064E+00,7.31136E-01,2.08559E-01
1668,1.41908E+01,4.09824E+00,1.35985E+00,7.30728E-01,2.08441E-01
1669,1.41835E+01,4.09606E+00,1.35905E+00,7.30322E-01,2.08323E-01
1670,1.41762E+01,4.09388E+00,1.35826E+00,7.29915E-01,2.08206E-01
1671,1.41690E+01,4.09171E+00,1.35746E+00,7.29510E-01,2.08089E-01
1672,1.41618E+01,4.08954E+00,1.35667E+00,7.29104E-01,2.07972E-01
1673,1.41545E+01,4.08737E+00,1.35587E+00,7.28700E-01,2.07855E-01
1674,1.41473E+01,4.08520E+00,1.35508E+00,7.28295E-01,2.07738E-01
1675,1.41401E+01,4.08304E+00,1.35429E+00,7.27891E-01,2.07621E-01
1676,1.41329E+01,4.08087E+00,1.35350E+00,7.27488E-01,2.07504E-01
1677,1.41257E+01,4.07871E+00,1.35271E+00,7.27085E-01,2.07387E-01
1678,1.41185E+01,4.07656E+00,1.35192E+00,7.26683E-01,2.07271E-01
1679,1.41114E+01,4.07440E+00,1.35113E+00,7.26281E-01,2.07155E-01
1680,1.41042E+01,4.07225E+00,1.35035E+00,7.25880E-01,2.07038E-01
1681,1.40970E+01,4.07010E+00,1.34956E+00,7.25479E-01,2.06922E-01
1682,1.40899E+01,4.06795E+00,1.34877E+00,7.25078E-01,2.06806E-01
1683,1.40828E+01,4.06581E+00,1.34799E+00,7.24678E-01,2.06690E-01
1684,1.40757E+01,4.06367E+00,1.34721E+00,7.24279E-01,2.06574E-01
1685,1.40686E+01,4.06153E+00,1.34642E+00,7.23880E-01,2.06459E-01
1686,1.40615E+01,4.05939E+00,1.34564E+00,7.23482E-01,2.06343E-01
1687,1.40544E+01,4.05726E+00,1.34486E+00,7.23083E-01,2.06228E-01
1688,1.40473E+01,4.05513E+00,1.34408E+00,7.22686E-01,2.06112E-01
1689,1.40402E+01,4.05300E+00,1.34330E+00,7.22289E-01,2.05997E-01
1690,1.40332E+01,4.05087E+00,1.34252E+00,7.21892E-01,2.05882E-01
1691,1.40261E+01,4.04875E+00,1.34174E+00,7.21496E-01,2.05767E-01
1692,1.40191E+01,4.04662E+00,1.34097E+00,7.21101E-01,2.05652E-01
1693,1.40121E+01,4.04450E+00,1.34019E+00,7.20705E-01,2.05537E-01
1694,1.40051E+01,4.04239E+00,1.33941E+00,7.20311E-01,2.05422E-01
1695,1.39981E+01,4.04027E+00,1.33864E+00,7.19916E-01,2.05308E-01
1696,1.39911E+01,4.03816E+00,1.33787E+00,7.19523E-01,2.05193E-01
1697,1.39841E+01,4.03605E+00,1.33709E+00,7.19129E-01,2.05079E-01
1698,1.39771E+01,4.03394E+00,1.33632E+00,7.18737E-01,2.04964E-01
1699,1.39702E+01,4.03184E+00,1.33555E+00,7.18344E-01,2.04850E-01
1700,1.39632E+01,4.02974E+00,1.33478E+00,7.17952E-01,2.04736E-01
1701,1.39563E+01,4.02764E+00,1.33401E+00,7.17561E-01,2.04622E-01
1702,1.39494E+01,4.02554E+00,1.33324E+00,7.17170E-01,2.04508E-01
1703,1.39424E+01,4.02344E+00,1.33247E+00,7.16780E-01,2.04395E-01
1704,1.39355E+01,4.02135E+00,1.33170E+00,7.16390E-01,2.04281E-01
1705,1.39286E+01,4.01926E+00,1.33094E+00,7.16000E-01,2.04167E-01
1706,1.39217E+01,4.01717E+00,1.33017E+00,7.15611E-01,2.04054E-01
1707,1.39149E+01,4.01509E+00,1.32941E+00,7.15222E-01,2.03941E-01
1708,1.39080E+01,4.01300E+00,1.32864E+00,7.14834E-01,2.03827E-01
1709,1.39011E+01,4.01092E+00,1.32788E+00,7.14447E-01,2.03714E-01
1710,1.38943E+01,4.00884E+00,1.32712E+00,7.14059E-01,2.03601E-01
1711,1.38874E+01,4.00677E+00,1.32636E+00,7.13673E-01,2.03488E-01
1712,1.38806E+01,4.00469E+00,1.32560E+00,7.13286E-01,2.03376E-01
1713,1.38738E+01,4.00262E+00,1.32484E+00,7.12900E-01,2.03263E-01
1714,1.38670E+01,4.00055E+00,1.32408E+00,7.12515E-01,2.03150E-01
1715,1.38602E+01,3.99849E+00,1.32332E+00,7.12130E-01,2.03038E-01
1716,1.38534E+01,3.99642E+00,1.32256E+00,7.11746E-01,2.02925E-01
1717,1.38466E+01,3.99436E+00,1.32181E+00,7.11362E-01,2.02813E-01
1718,1.38398E+01,3.99230E+00,1.32105E+00,7.10978E-01,2.02701E-01
1719,1.38331E+01,3.99025E+00,1.32029E+00,7.10595E-01,2.02589E-01
1720,1.38263E+01,3.98819E+00,1.31954E+00,7.10212E-01,2.02477E-01
1721,1.38196E+01,3.98614E+00,1.31879E+00,7.09830E-01,2.02365E-01
1722,1.38129E+01,3.98409E+00,1.31803E+00,7.09448E-01,2.02253E-01
1723,1.38061E+01,3.98204E+00,1.31728E+00,7.09067E-01,2.02142E-01
1724,1.37994E+01,3.98000E+00,1.31653E+00,7.08686E-01,2.02030E-01
1725,1.37927E+01,3.97795E+00,1.31578E+00,7.08306E-01,2.01919E-01
1726,1.37860E+01,3.97591E+00,1.31503E+00,7.07926E-01,2.01807E-01
1727,1.37794E+01,3.97387E+00,1.31428E+00,7.07546E-01,2.01696E-01
1728,1.37727E+01,3.97184E+00,1.31353E+00,7.07167E-01,2.01585E-01
1729,1.37660E+01,3.96980E+00,1.31279E+00,7.06789E-01,2.01474E-01
1730,1.37594E+01,3.96777E+00,1.31204E+00,7.06411E-01,2.01363E-01
1731,1.37527E+01,3.96574E+00,1.31129E+00,7.06033E-01,2.01252E-01
1732,1.37461E+01,3.96372E+00,1.31055E+00,7.05656E-01,2.01142E-01
1733,1.37395E+01,3.96169E+00,1.30981E+00,7.05279E-01,2.01031E-01
1734,1.37329E+01,3.95967E+00,1.30906E+00,7.04902E-01,2.00920E-01
1735,1.37263E+01,3.95765E+00,1.30832E+00,7.04526E-01,2.00810E-01
1736,1.37197E+01,3.95563E+00,1.30758E+00,7.04151E-01,2.00700E-01
1737,1.37131E+01,3.95362E+00,1.30684E+00,7.03776E-01,2.00590E-01
1738,1.37065E+01,3.95160E+00,1.30610E+00,7.03401E-01,2.00479E-01
1739,1.37000E+01,3.94959E+00,1.30536E+00,7.03027E-01,2.00369E-01
1740,1.36934E+01,3.94758E+00,1.30462E+00,7.02654E-01,2.00260E-01
1741,1.36869E+01,3.94558E+00,1.30388E+00,7.02280E-01,2.00150E-01
1742,1.36803E+01,3.94357E+00,1.30314E+00,7.01907E-01,2.00040E-01
1743,1.36738E+01,3.94157E+00,1.30241E+00,7.01535E-01,1.99931E-01
1744,1.36673E+01,3.93957E+00,1.30167E+00,7.01163E-01,1.99821E-01
1745,1.36608E+01,3.93757E+00,1.30094E+00,7.00792E-01,1.99712E-01
1746,1.36543E+01,3.93558E+00,1.30020E+00,7.00420E-01,1.99602E-01
1747,1.36478E+01,3.93358E+00,1.29947E+00,7.00050E-01,1.99493E-01
1748,1.36413E+01,3.93159E+00,1.29874E+00,6.99680E-01,1.99384E-01
1749,1.36349E+01,#VALUE!,1.29801E+00,6.99310E-01,1.99275E-01
1750,1.36284E+01,3.92762E+00,1.29728E+00,6.98940E-01,1.99166E-01
1751,1.36220E+01,3.92563E+00,1.29655E+00,6.98572E-01,1.99057E-01
1752,1.36155E+01,3.92365E+00,1.29582E+00,6.98203E-01,1.98949E-01
1753,1.36091E+01,3.92167E+00,1.29509E+00,6.97835E-01,1.98840E-01
1754,1.36027E+01,3.91969E+00,1.29436E+00,6.97467E-01,1.98732E-01
1755,1.35963E+01,3.91772E+00,1.29363E+00,6.97100E-01,1.98623E-01
1756,1.35899E+01,3.91575E+00,1.29291E+00,6.96733E-01,1.98515E-01
1757,1.35835E+01,3.91377E+00,1.29218E+00,6.96367E-01,1.98407E-01
1758,1.35771E+01,3.91181E+00,1.29146E+00,6.96001E-01,1.98299E-01
1759,1.35707E+01,3.90984E+00,1.29073E+00,6.95636E-01,1.98191E-01
1760,1.35643E+01,3.90787E+00,1.29001E+00,6.95271E-01,1.98083E-01
1761,1.35580E+01,3.90591E+00,1.28929E+00,6.94906E-01,1.97975E-01
1762,1.35516E+01,3.90395E+00,1.28856E+00,6.94542E-01,1.97867E-01
1763,1.35453E+01,3.90199E+00,1.28784E+00,6.94178E-01,1.97760E-01
1764,1.35390E+01,3.90004E+00,1.28712E+00,6.93815E-01,1.97652E-01
1765,1.35327E+01,3.89808E+00,1.28640E+00,6.93452E-01,1.97545E-01
1766,1.35264E+01,3.89613E+00,1.28568E+00,6.93089E-01,1.97437E-01
1767,1.35201E+01,3.89418E+00,1.28497E+00,6.92727E-01,1.97330E-01
1768,1.35138E+01,3.89224E+00,1.28425E+00,6.92366E-01,1.97223E-01
1769,1.35075E+01,3.89029E+00,1.28353E+00,6.92005E-01,1.97116E-01
1770,1.35012E+01,3.88835E+00,1.28282E+00,6.91644E-01,1.97009E-01
1771,1.34950E+01,3.88641E+00,1.28210E+00,6.91283E-01,1.96902E-01
1772,1.34887E+01,3.88447E+00,1.28139E+00,6.90923E-01,1.96796E-01
1773,1.34825E+01,3.88253E+00,1.28067E+00,6.90564E-01,1.96689E-01
1774,1.34762E+01,3.88060E+00,1.27996E+00,6.90205E-01,1.96582E-01
1775,1.34700E+01,3.87867E+00,1.27925E+00,6.89846E-01,1.96476E-01
1776,1.34638E+01,3.87674E+00,1.27854E+00,6.89488E-01,1.96370E-01
1777,1.34576E+01,3.87481E+00,1.27782E+00,6.89130E-01,1.96263E-01
1778,1.34514E+01,3.87288E+00,1.27711E+00,6.88772E-01,1.96157E-01
1779,1.34452E+01,3.87096E+00,1.27641E+00,6.88415E-01,1.96051E-01
1780,1.34390E+01,3.86904E+00,1.27570E+00,6.88059E-01,1.95945E-01
1781,1.34329E+01,3.86712E+00,1.27499E+00,6.87703E-01,1.95839E-01
1782,1.34267E+01,3.86520E+00,1.27428E+00,6.87347E-01,1.95733E-01
1783,1.34205E+01,3.86328E+00,1.27358E+00,6.86991E-01,1.95628E-01
1784,1.34144E+01,3.86137E+00,1.27287E+00,6.86636E-01,1.95522E-01
1785,1.34083E+01,3.85946E+00,1.27216E+00,6.86282E-01,1.95417E-01
1786,1.34021E+01,3.85755E+00,1.27146E+00,6.85928E-01,1.95311E-01
1787,1.33960E+01,3.85564E+00,1.27076E+00,6.85574E-01,1.95206E-01
1788,1.33899E+01,3.85374E+00,1.27005E+00,6.85221E-01,1.95101E-01
1789,1.33838E+01,3.85183E+00,1.26935E+00,6.84868E-01,1.94996E-01
1790,1.33777E+01,3.84993E+00,1.26865E+00,6.84515E-01,1.94891E-01
1791,1.33717E+01,3.84803E+00,1.26795E+00,6.84163E-01,1.94786E-01
1792,1.33656E+01,3.84614E+00,1.26725E+00,6.83811E-01,1.94681E-01
1793,1.33595E+01,3.84424E+00,1.26655E+00,6.83460E-01,1.94576E-01
1794,1.33535E+01,3.84235E+00,1.26585E+00,6.83109E-01,1.94472E-01
1795,1.33474E+01,3.84046E+00,1.26515E+00,6.82759E-01,1.94367E-01
1796,1.33414E+01,3.83857E+00,1.26446E+00,6.82409E-01,1.94262E-01
1797,1.33354E+01,3.83668E+00,1.26376E+00,6.82059E-01,1.94158E-01
1798,1.33294E+01,3.83480E+00,1.26307E+00,6.81710E-01,1.94054E-01
1799,1.33234E+01,3.83292E+00,1.26237E+00,6.81361E-01,1.93950E-01
1800,1.33174E+01,3.83104E+00,1.26168E+00,6.81013E-01,1.93846E-01
1801,1.33114E+01,3.82916E+00,1.26098E+00,6.80664E-01,1.93742E-01
1802,1.33054E+01,3.82728E+00,1.26029E+00,6.80317E-01,1.93638E-01
1803,1.32994E+01,3.82541E+00,1.25960E+00,6.79970E-01,1.93534E-01
1804,1.32935E+01,3.82354E+00,1.25891E+00,6.79623E-01,1.93430E-01
1805,1.32875E+01,3.82166E+00,1.25822E+00,6.79276E-01,1.93327E-01
1806,1.32816E+01,3.81980E+00,1.25753E+00,6.78930E-01,1.93223E-01
1807,1.32756E+01,3.81793E+00,1.25684E+00,6.78585E-01,1.93120E-01
1808,1.32697E+01,3.81607E+00,1.25615E+00,6.78239E-01,1.93016E-01
1809,1.32638E+01,3.81420E+00,1.25546E+00,6.77894E-01,1.92913E-01
1810,1.32579E+01,3.81234E+00,1.25477E+00,6.77550E-01,1.92810E-01
1811,1.32520E+01,3.81048E+00,1.25409E+00,6.77206E-01,1.92707E-01
1812,1.32461E+01,3.80863E+00,1.25340E+00,6.76862E-01,1.92604E-01
1813,1.32402E+01,3.80677E+00,1.25271E+00,6.76519E-01,1.92501E-01
1814,1.32343E+01,3.80492E+00,1.25203E+00,6.76176E-01,1.92398E-01
1815,1.32284E+01,3.80307E+00,1.25135E+00,6.75834E-01,1.92295E-01
1816,1.32226E+01,3.80122E+00,1.25066E+00,6.75492E-01,1.92193E-01
1817,1.32167E+01,3.79937E+00,1.24998E+00,6.75150E-01,1.92090E-01
1818,1.32109E+01,3.79753E+00,1.24930E+00,6.74809E-01,1.91988E-01
1819,1.32051E+01,3.79569E+00,1.24862E+00,6.74468E-01,1.91885E-01
1820,1.31992E+01,3.79385E+00,1.24794E+00,6.74127E-01,1.91783E-01
1821,1.31934E+01,3.79201E+00,1.24726E+00,6.73787E-01,1.91681E-01
1822,1.31876E+01,3.79017E+00,1.24658E+00,6.73447E-01,1.91579E-01
1823,1.31818E+01,3.78834E+00,1.24590E+00,6.73108E-01,1.91477E-01
1824,1.31760E+01,3.78650E+00,1.24522E+00,6.72769E-01,1.91375E-01
1825,1.31703E+01,3.78467E+00,1.24455E+00,6.72430E-01,1.91273E-01
1826,1.31645E+01,3.78284E+00,1.24387E+00,6.72092E-01,1.91171E-01
