Inverted,Yield,Error,Inverted
160Gd,3.54e-05,8.15e-06,160Gd
161Gd,1.22e-05,7.29e-07,161Gd
162Gd,3.4e-06,1.53e-06,162Gd
163Gd,2.04e-06,9.179999999999999e-07,163Gd
164Gd,1.23e-06,7.87e-07,164Gd
165Gd,7.179999999999999e-07,4.6e-07,165Gd
166Gd,4.66e-07,2.98e-07,166Gd
167Gd,2.5399999999999997e-07,1.6300000000000002e-07,167Gd
168Gd,9.59e-08,6.14e-08,168Gd
169Gd,2.17e-08,1.3899999999999999e-08,169Gd
170Gd,3.4899999999999997e-09,2.23e-09,170Gd
171Gd,3.42e-10,2.19e-10,171Gd
172Gd,8.13e-11,5.1999999999999995e-11,172Gd
151Tb,0.0,0.0,151Tb
153Tb,0.0,0.0,153Tb
155Tb,0.0,0.0,155Tb
156Tb,0.0,0.0,156Tb
156mTb,0.0,0.0,156mTb
157Tb,0.0,0.0,157Tb
158Tb,4.81e-14,3.08e-14,158Tb
158mTb,0.0,0.0,158mTb
159Tb,8.62e-05,1.3800000000000002e-05,159Tb
160Tb,1.8899999999999997e-11,1.2099999999999999e-11,160Tb
161Tb,1.22e-05,3.4e-07,161Tb
162Tb,3.33e-06,1.5e-06,162Tb
162mTb,6.84e-08,3.08e-08,162mTb
163Tb,2.04e-06,9.179999999999999e-07,163Tb
164Tb,1.25e-06,5.629999999999999e-07,164Tb
165Tb,7.66e-07,4.9e-07,165Tb
166Tb,5.64e-07,3.61e-07,166Tb
167Tb,4.2299999999999996e-07,1.9e-07,167Tb
168Tb,2.52e-07,1.6100000000000003e-07,168Tb
169Tb,1.2099999999999998e-07,7.74e-08,169Tb
170Tb,4.4000000000000004e-08,2.8199999999999998e-08,170Tb
171Tb,1.23e-08,7.87e-09,171Tb
172Tb,7.68e-09,4.92e-09,172Tb
155Dy,0.0,0.0,155Dy
156Dy,0.0,0.0,156Dy
157Dy,0.0,0.0,157Dy
158Dy,0.0,0.0,158Dy
159Dy,0.0,0.0,159Dy
160Dy,1.8899999999999997e-11,1.2099999999999999e-11,160Dy
161Dy,1.22e-05,3.4e-07,161Dy
162Dy,3.4e-06,1.09e-06,162Dy
163Dy,2.04e-06,6.529999999999999e-07,163Dy
164Dy,1.25e-06,4e-07,164Dy
165Dy,7.57e-07,2.4199999999999997e-07,165Dy
165mDy,3.83e-07,1.72e-07,165mDy
166Dy,5.67e-07,2.55e-07,166Dy
167Dy,4.35e-07,1.3900000000000001e-07,167Dy
168Dy,2.8300000000000003e-07,1.2699999999999999e-07,168Dy
169Dy,1.69e-07,7.61e-08,169Dy
170Dy,9.82e-08,6.28e-08,170Dy
171Dy,4.95e-08,3.17e-08,171Dy
172Dy,7.38e-08,4.72e-08,172Dy
159Ho,0.0,0.0,159Ho
159mHo,0.0,0.0,159mHo
161Ho,0.0,0.0,161Ho
161mHo,0.0,0.0,161mHo
162Ho,0.0,0.0,162Ho
162mHo,0.0,0.0,162mHo
163Ho,0.0,0.0,163Ho
163mHo,0.0,0.0,163mHo
164Ho,0.0,0.0,164Ho
164mHo,0.0,0.0,164mHo
165Ho,7.66e-07,1.7600000000000001e-07,165Ho
166Ho,5.67e-07,2.55e-07,166Ho
166mHo,1.77e-12,1.13e-12,166mHo
167Ho,4.35e-07,1e-07,167Ho
168Ho,2.84e-07,1.28e-07,168Ho
169Ho,1.7e-07,7.65e-08,169Ho
170Ho,1e-07,4.5e-08,170Ho
170mHo,1.9100000000000002e-09,1.22e-09,170mHo
171Ho,5.7e-08,2.57e-08,171Ho
172Ho,1.05e-07,4.7300000000000007e-08,172Ho
161Er,0.0,0.0,161Er
162Er,0.0,0.0,162Er
163Er,0.0,0.0,163Er
164Er,0.0,0.0,164Er
165Er,0.0,0.0,165Er
166Er,5.67e-07,1.8100000000000002e-07,166Er
167Er,4.35e-07,6.96e-08,167Er
167mEr,4.35e-08,1e-08,167mEr
168Er,2.84e-07,9.09e-08,168Er
169Er,1.7e-07,7.65e-08,169Er
170Er,1.0199999999999999e-07,3.26e-08,170Er
171Er,5.7199999999999996e-08,1.8300000000000002e-08,171Er
172Er,1.0699999999999999e-07,3.42e-08,172Er
165Tm,0.0,0.0,165Tm
166Tm,0.0,0.0,166Tm
167Tm,0.0,0.0,167Tm
168Tm,0.0,0.0,168Tm
169Tm,1.7e-07,5.4400000000000004e-08,169Tm
170Tm,0.0,0.0,170Tm
171Tm,5.7199999999999996e-08,1.8300000000000002e-08,171Tm
172Tm,1.0699999999999999e-07,3.42e-08,172Tm
166Yb,0.0,0.0,166Yb
167Yb,0.0,0.0,167Yb
168Yb,0.0,0.0,168Yb
169Yb,0.0,0.0,169Yb
169mYb,0.0,0.0,169mYb
170Yb,0.0,0.0,170Yb
171Yb,5.7199999999999996e-08,1.8300000000000002e-08,171Yb
172Yb,1.0699999999999999e-07,3.42e-08,172Yb
169Lu,0.0,0.0,169Lu
169mLu,0.0,0.0,169mLu
171Lu,0.0,0.0,171Lu
171mLu,0.0,0.0,171mLu
172Lu,0.0,0.0,172Lu
172mLu,0.0,0.0,172mLu
171Hf,0.0,0.0,171Hf
172Hf,0.0,0.0,172Hf
