Inverted,Yield,Error,Inverted
100Tc,1.56e-09,9.98e-10,100Tc
101Tc,0.0620905,0.00173853,101Tc
102Tc,0.00322435,6.45e-05,102Tc
102mTc,0.0644732,0.00128946,102mTc
103Tc,0.0627532,0.00175709,103Tc
104Tc,0.0503599,0.0010072000000000002,104Tc
105Tc,0.040509300000000005,0.00243056,105Tc
106Tc,0.0248974,0.000697,106Tc
107Tc,0.014458700000000001,0.0033255000000000003,107Tc
108Tc,0.00601173,0.00192375,108Tc
109Tc,0.00251331,0.00113099,109Tc
110Tc,0.00140851,0.000901,110Tc
111Tc,0.000602,0.00038500000000000003,111Tc
112Tc,0.00025699999999999996,0.000164,112Tc
113Tc,7.8e-05,4.99e-05,113Tc
114Tc,1.4000000000000001e-05,8.95e-06,114Tc
115Tc,1.68e-06,1.07e-06,115Tc
116Tc,2.39e-07,1.53e-07,116Tc
117Tc,4.88e-09,3.12e-09,117Tc
118Tc,7.47e-10,4.78e-10,118Tc
119Tc,2.0299999999999996e-12,1.3000000000000001e-12,119Tc
120Tc,7.12e-14,4.56e-14,120Tc
121Tc,5e-15,3.2e-15,121Tc
95Ru,0.0,0.0,95Ru
96Ru,0.0,0.0,96Ru
97Ru,0.0,0.0,97Ru
98Ru,2.29e-13,1.47e-13,98Ru
99Ru,0.0616825,0.0008640000000000001,99Ru
100Ru,1.56e-09,9.98e-10,100Ru
101Ru,0.0620905,0.000869,101Ru
102Ru,0.0644739,0.0006450000000000001,102Ru
103Ru,0.0627532,0.0008789999999999999,103Ru
104Ru,0.0503601,0.000504,104Ru
105Ru,0.040512900000000004,0.00113436,105Ru
106Ru,0.0248974,0.000349,106Ru
107Ru,0.014458799999999999,0.0023134,107Ru
108Ru,0.00601424,0.00192456,108Ru
109Ru,0.00252063,0.0016132000000000002,109Ru
109mRu,7.9e-07,5.06e-07,109mRu
110Ru,0.00140761,0.000633,110Ru
111Ru,0.000711,0.00032,111Ru
112Ru,0.000541,8.65e-05,112Ru
113Ru,0.00038199999999999996,0.000245,113Ru
114Ru,0.00021899999999999998,0.00014,114Ru
115Ru,9.85e-05,6.31e-05,115Ru
116Ru,3.46e-05,2.2100000000000002e-05,116Ru
117Ru,5.43e-06,3.48e-06,117Ru
118Ru,9e-07,5.76e-07,118Ru
119Ru,4.98e-08,3.19e-08,119Ru
120Ru,1.89e-09,1.21e-09,120Ru
121Ru,1.2200000000000002e-10,7.83e-11,121Ru
122Ru,6.3e-13,4.0299999999999995e-13,122Ru
123Ru,1.36e-14,8.71e-15,123Ru
124Ru,0.0,0.0,124Ru
99Rh,0.0,0.0,99Rh
101Rh,0.0,0.0,101Rh
101mRh,0.0,0.0,101mRh
102Rh,0.0,0.0,102Rh
102mRh,0.0,0.0,102mRh
103Rh,0.0627532,0.0008789999999999999,103Rh
103mRh,0.06212569999999999,0.0008699999999999999,103mRh
104Rh,7.45e-12,4.769999999999999e-12,104Rh
104mRh,5.820000000000001e-12,3.72e-12,104mRh
105Rh,0.040512900000000004,0.00081,105Rh
105mRh,0.0109385,0.000306,105mRh
106Rh,0.0248974,0.000349,106Rh
106mRh,0.0,0.0,106mRh
107Rh,0.014458799999999999,0.00159046,107Rh
108Rh,0.00601424,0.00138327,108Rh
108mRh,1.81e-14,1.16e-14,108mRh
109Rh,0.00252142,0.00161371,109Rh
109mRh,0.00126031,0.000807,109mRh
110Rh,0.00140761,0.00045,110Rh
110mRh,1.73e-11,1.1099999999999999e-11,110mRh
111Rh,0.000712,0.00022799999999999999,111Rh
112Rh,0.000559,4.47e-05,112Rh
113Rh,0.000459,0.000207,113Rh
114Rh,0.00037799999999999997,0.000242,114Rh
115Rh,0.000322,0.000206,115Rh
116Rh,0.00023999999999999998,0.000153,116Rh
117Rh,0.00011999999999999999,7.709999999999999e-05,117Rh
118Rh,5.2300000000000004e-05,3.35e-05,118Rh
119Rh,1.12e-05,7.19e-06,119Rh
120Rh,1.43e-06,9.15e-07,120Rh
121Rh,1.0699999999999999e-07,6.85e-08,121Rh
122Rh,6.17e-09,3.95e-09,122Rh
123Rh,2.62e-10,1.68e-10,123Rh
124Rh,5.5999999999999996e-12,3.58e-12,124Rh
125Rh,8.46e-14,5.41e-14,125Rh
127Rh,0.0,0.0,127Rh
99Pd,0.0,0.0,99Pd
101Pd,0.0,0.0,101Pd
102Pd,0.0,0.0,102Pd
103Pd,0.0,0.0,103Pd
104Pd,7.429999999999999e-12,3.34e-12,104Pd
105Pd,0.040512900000000004,0.000567,105Pd
106Pd,0.0248974,0.000349,106Pd
107Pd,0.014458799999999999,0.0011567,107Pd
107mPd,0.0,0.0,107mPd
108Pd,0.00601424,0.000962,108Pd
109Pd,0.00252142,0.00161371,109Pd
109mPd,0.0,0.0,109mPd
110Pd,0.00140761,0.000225,110Pd
111Pd,0.000711,0.000164,111Pd
111mPd,3.06e-06,9.79e-07,111mPd
112Pd,0.000559,2.24e-05,112Pd
113Pd,0.00046100000000000004,0.000148,113Pd
114Pd,0.000393,0.000177,114Pd
